id,affermazione,valore_dichiarato,valore_ricalcolato,esito,metodo,note
1,"Densità nucleare mediana per archetipo, cellpose_rgb, scala nativa (nuclei/mm² tessuto valido)",A1 10586; A2 7901; A3 4300; A4 24367; A5 925; A6 630,A1 10592; A2 7909; A3 4305; A4 24380; A5 925; A6 630,confermata,R2_nuclei_all.parquet (keep & scale==1) contati per ROI; area valida = sum(tissue_ds4 & ~bubble_ds4)×16×upp² dalle maschere npz; mediana dei 5 ROI,scarto massimo 0.06 % (tolleranza 2 %); area valida mia vs tissue_mm2 dichiarata: scarto max 0.11 % (side_px² vs conteggio pixel ds4)
2,"Densità mediana stardist_he: A1, A4, A6",A1 5483; A4 21544; A6 974,A1 5486; A4 21555; A6 974,confermata,come 1,scarto max 0.06 %
3,"Area nucleare mediana (µm²): cellpose_rgb A1 12.9, A4 13.9, A5 100.5, A6 18.2; stardist A4 16.0; spaceranger A4 19.9",12.9; 13.9; 100.5; 18.2; 16.0; 19.9,12.9; 13.9; 100.5; 18.2; 16.0; 19.9,confermata,"mediana delle mediane per ROI (keep, scala 1) dal parquet",mediana pooled (tutti i nuclei) A5 cellpose = 91.4 µm² (i 5 ROI hanno mediane 74–110): la statistica 'mediana delle mediane' va dichiarata esplicitamente
4,"F1@IoU≥0.5 cellpose_rgb vs stardist_he in area valida: A4_f2, A1_r1, A6_r3",A4_f2 0.9266; A1_r1 0.6132; A6_r3 0.2463,A4_f2 0.9266; A1_r1 0.6132; A6_r3 0.2486 (conteggio oggetti presenti); con conteggio per max label: 0.9266; 0.6132; 0.2463,confermata,"appaiamento con np.unique sulle coppie di label (IoU≥0.5, uno-a-uno), label azzerate fuori dall'area valida (upsample ×4 delle maschere)",tp identici (18127; 4207; 158). R2_metrics.match conta gli oggetti con la.max(): include label cancellate dalla maschera valida (A6_r3: 961 vs 949 presenti) → F1 sottostimato di 0.002 al massimo
5,Riproducibilità: label cellpose_rgb/stardist_he vs *_repro bit-identiche per A4_f2 e A1_r1,4/4 identical_labels True,"4/4 np.array_equal True (n oggetti 20501, 9064, 18625, 4658)",confermata,np.array_equal sui .npz nativi,
6,um_per_px di R2_rois_checked.csv = microns_per_pixel di scalefactors_json.json (square_008um) per dataset,5 dataset coincidenti,"5/5 coincidenti a precisione float (0.27376127, 0.27370125, 0.27377503, 0.27402353, 0.27381143); un solo valore per dataset nella tabella",confermata,json.load dei 5 scalefactors_json.json,
7,"density_consensus = (n_matched + n_cp_excl×frac_ev + n_sd_excl×frac_ev)/tissue_mm2; conteggi = R2_exclusive_check; mediane A1 10977, A4 24492, A5 1324, A6 1049",mediane A1 10977; A4 24492; A5 1324; A6 1049,formula esatta in 30/30 ROI (scarto rel. max 2e-16); n_matched = tp di R2_matching in 30/30; mediane A1 10977; A4 24492; A5 1324; A6 1049 (con la mia area valida: 10983; 24506; 1324; 1049),confermata,ricalcolo dalle tabelle + verifica del doppio conteggio (oggetti esclusivi Cellpose con evidenza che contengono ≥50 % di un nucleo StarDist esclusivo),"doppio conteggio nel consenso ≤ 1.7 % del conteggio per ROI (A1/A4/A5/A6, 20 ROI): trascurabile | NOTA POST-REVISIONE (2026-09-21): i valori dichiarati/ricalcolati in questa riga (A1 10977, A4 24492, A5 1324, A6 1049) sono il consenso PRIMA delle correzioni accolte dal revisore stesso (soglia OD, oggetti fantasma). Dopo il ricalcolo il consenso mediano e' A1 10876, A2 6739, A3 4117, A4 24491, A5 1127, A6 1044 (R2_consensus_density.csv); la formula e' verificata sul file corrente (es. A5_r2: (648+25+274)/0.8401 = 1127). Il report, la nota di sessione e BIO_REFERENCES usano i valori post-correzione."
8,I poligoni Space Ranger sono quantizzati sulla griglia dei bin 2 µm (≈7.3 px),contorni a gradini ~7.3 px; area minima 4 µm²,"2000/2000 poligoni campionati (seed 0, su 302080) con area = multiplo intero di (7.305 px)² entro ±0.05 (attesa se casuale: 10 %); area minima 3.994 µm², mediana 20.0 µm²; 82 % dei lati paralleli agli assi, lunghezza mediana lato 7.4 px; 7 vertici per poligono (mediana). Le coordinate dei vertici modulo 7.305 px NON sono concentrate (bin max 6–7 % vs 5 % uniforme): la fase della griglia varia nell'immagine (array ruotato rispetto ai pixel, residuo 20 px nel fit lineare array→pixel)",confermata,"nucleus_segmentations.geojson (Lymph Node), shoelace area, differenze fra vertici consecutivi, modulo del passo (2 µm / mpp e passo stimato da tissue_positions 2 µm)","quantizzazione confermata dalle aree e dai lati, non da un reticolo pixel fisso: formulare come 'unioni di bin 2 µm', non 'griglia in pixel'"
9,"Effetto scala 2× (mediana per archetipo della densità relativa alla nativa): cellpose A1 −18 %, A6 −41 %; stardist A1 −93 %",−18 %; −41 %; −93 %,cellpose A1 -18.4 %; A6 -41.2 %; stardist A1 -93.5 %,confermata,"rapporto n_keep(scala 2)/n_keep(nativa) per ROI dal parquet, mediana per archetipo","tutti gli archetipi: cellpose 2× A1 −18, A2 −13, A3 −8, A4 −5, A5 −5, A6 −41; stardist 2× A1 −93, A2 −83, A3 −75, A4 −98, A5 −36, A6 −75"
10,C-R2.5: frazione di poligoni SR con OD ematossilina dentro > anello ≥ 0.949 in tutti i 25 ROI,min 0.9485 (A2_r4); A6_r3 1.000,"A6_r3: 1.000 (anello 3 µm per dilatazione e per distanza euclidea); A2_r4: 0.9485 (dilatazione, identico al dichiarato) / 0.9535 (anello EDT)",confermata,"rgb2hed canale H, media per label dentro e nell'anello esterno 3 µm; due definizioni di anello","0.9485 < 0.95: il codice del report assegna WARN a C-R2.5 (24/25 ROI ≥ 0.95), vedi id 14"
11,"Arbitro A6: esclusivi StarDist = 56 % dei suoi oggetti, 97 % con evidenza nucleare (OD dentro > 1.3×anello 2 µm e > mediana tessuto)",A6 mediane 55.9 % / 96.7 %; A6_r3 83.6 % / 97.9 %,A6 mediane 55.3 % esclusivi (55.9 % se contati per max label) / 98.8 % con evidenza; A6_r3 83.4 % / 99.4 % (791 esclusivi su 949 presenti),confermata,appaiamento mio + OD ematossilina per label con anello EDT 2 µm; tutti e 5 i ROI A6,"la frazione con evidenza dichiarata è deflazionata dagli oggetti fantasma (label cancellate dalla maschera valida, OD=0, contati come esclusivi senza evidenza: 12/961 in A6_r3). La mediana dell'OD di tessuto è 0 in tutti i ROI A6 (rgb2hed tronca a 0; 50 %% dei pixel validi di A6_r3 hanno OD_H = 0): il secondo criterio è inerte in A6"
12,"Ispezione visiva A6_r3/A5_r2 (150 µm): 'Cellpose perde nuclei allungati dei cardiomiociti e nuclei gliali piccoli, StarDist li trova'",frase del report §4.1,"A5_r2 (2 finestre): i nuclei neuronali grandi e pallidi sono trovati da entrambi (contorni sovrapposti); tutti i nuclei piccoli scuri (glia/endotelio, 8–10 per finestra) hanno solo il contorno StarDist; alcuni li perdono entrambi. A6_r3 (2 finestre): StarDist trova 33 nuclei per finestra, Cellpose 2–8 oggetti che sono profili trasversali di cardiomiociti (cellule intere, ~140 µm²), non nuclei; i nuclei persi da Cellpose qui sono per lo più rotondi/ovali (sezione trasversale), non allungati",confermata,"overlay generati con codice mio (contorni find_boundaries, verde cellpose_rgb, viola stardist_he, ×2), finestra centrale e finestra con più esclusivi StarDist; ispezione visiva","confermato il fatto (Cellpose perde, StarDist trova); il meccanismo dichiarato per A6 ('nuclei allungati') non è quello visibile in A6_r3, dove Cellpose-SAM segmenta le cellule invece dei nuclei"
13,"CP-R2.4 (R2_spatial.R): g(r), Clark–Evans e intensità calcolati sui centroidi keep con finestra = maschera di tessuto valido","n per ROI in R2_spatial_summary.csv = nuclei keep (es. A1_r1 7039, A1_r4 4763, A5_r4 383)","n_keep: A1_r1 8739, A1_r4 6763, A5_r4 524. La finestra costruita con owin(mask = t(m)) dopo il flip delle righe è la riflessione della maschera rispetto all'anti-diagonale: la frazione di nuclei keep che cade nella maschera anti-trasposta riproduce n_spatial/n_keep in 30/30 ROI entro 0.5 punti (nella maschera corretta cade il 100 %). Persi 6.8 % dei nuclei in totale, fino al 30 % (A1_r4) e 27 % (A5_r4); intensity_per_mm2 sottostimata della stessa frazione",discrepanza,check_spatial_window.py: confronto frazione dentro maschera corretta / trasposta / anti-trasposta vs n_spatial,"spatstat: owin(mask=M) vuole righe = y crescente, colonne = x; basta il flip delle righe, senza t(). Da rifare g(r), envelope, Clark–Evans e la tabella §3.2/§4.3; aggiungere in test_R2.sh l'asserzione n == n_keep per ROI"
